### premier chiffre = ordre des rubriques puis 2eme ordre dans la rubrique
1,1,Pour l'exercice,Ic&ocirc;nes,archives/dizainier-elements.zip
1,2,Pour l'exercice,Vid&eacute;o - iPhone 5/5S (iOS7),videos/dizainier-ios7-iPhone-retina4.mp4
1,3,Pour l'exercice,Vid&eacute;o - iPad (iOS7),videos/dizainier-ios7-iPad.mp4
